2026-03-30 15:13:11.233562	https://api.data.igvf.org/multireport/?type=AnalysisSet&query=perturb-seq&limit=all
ID	Summary	Sample Summary	Sample Institutional Certificates	Simplified Sample Summary	Assay Term Names	Preferred Assay Titles	File Set Type	File Content Type	File Format	File Assembly
/analysis-sets/IGVFDS8267AWLU/	single-nucleus ATAC-seq (10x multiome), single-nucleus RNA sequencing assay (10x multiome)	Homo sapiens (male) H1-hESC organoid induced to islet of Langerhans for 45 days, perturbed with 50.0 ng/mL interferon gamma for 48 hours	/institutional-certificates/635d748b-2373-4015-9329-a7f5bebbeca4/	Homo sapiens H1-hESC organoid induced to islet of Langerhans, at 45 day(s) post change, perturbed with 50.0 ng/mL interferon gamma for 48 hours			intermediate analysis	alignments,index,sparse gene count matrix,kallisto single cell RNAseq output,fragments		
/analysis-sets/IGVFDS2266YDVM/	CRISPR interference Perturb-seq integrating a guide (sgRNA) library targeting accessible genome regions in many genomic loci	Homo sapiens (female) H9 differentiated cell specimen induced to cardiac muscle cell for 12 days, (cellular sub pool: subpool_LW433) modified with CRISPRi Sp-dCas9, 3 week(s) after transfection with a guide (sgRNA) library targeting accessible genome regions in many genomic loci,Homo sapiens (female) H9 differentiated cell specimen induced to cardiac muscle cell for 12 days, (cellular sub pool: subpool_LW432) modified with CRISPRi Sp-dCas9, 3 week(s) after transfection with a guide (sgRNA) library targeting accessible genome regions in many genomic loci,Homo sapiens (female) H9 differentiated cell specimen induced to cardiac muscle cell for 12 days, (cellular sub pool: subpool_LW431) modified with CRISPRi Sp-dCas9, 3 week(s) after transfection with a guide (sgRNA) library targeting accessible genome regions in many genomic loci,Homo sapiens (female) H9 differentiated cell specimen induced to cardiac muscle cell for 12 days, (cellular sub pool: subpool_LW434) modified with CRISPRi Sp-dCas9, 3 week(s) after transfection with a guide (sgRNA) library targeting accessible genome regions in many genomic loci		Homo sapiens H9 differentiated cell specimen induced to cardiac muscle cell, at 12 day(s) post change, modified with CRISPRi Sp-dCas9, transfected with a guide library and measured at 3 week(s) post-transfection, cellular sub pool(s): subpool_LW431, subpool_LW432, subpool_LW433, subpool_LW434			principal analysis	filtered feature barcode matrix,raw feature barcode matrix,sparse gene count matrix,global differential expression,local differential expression		
/analysis-sets/IGVFDS6546QFJY/	CRISPR interference Parse Perturb-seq integrating a guide (sgRNA) library targeting transcription start sites in many genes associated with coronary artery disorder	Homo sapiens (female, Hispanic) HCASMC-hTERT cell line modified with CRISPRi Sp-dCas9-ZIM3-KRAB, transduced (lentivirus) with a guide (sgRNA) library targeting transcription start sites in many genes associated with coronary artery disorder		Homo sapiens HCASMC-hTERT cell line, modified with CRISPRi Sp-dCas9-ZIM3-KRAB, transfected with a guide library			principal analysis	filtered feature barcode matrix,annotated sparse gene count matrix,differential gene expression quantifications		
/analysis-sets/IGVFDS4762GRIW/	CRISPR interference Perturb-seq integrating a guide (sgRNA) library targeting accessible genome regions in many genomic loci	Homo sapiens (female) H9 differentiated cell specimen induced to cardiac muscle cell for 12 days, (cellular sub pool: subpool_LW273) modified with CRISPRi Sp-dCas9, 3 week(s) after transfection with a guide (sgRNA) library targeting accessible genome regions in many genomic loci,Homo sapiens (female) H9 differentiated cell specimen induced to cardiac muscle cell for 12 days, (cellular sub pool: subpool_LW274) modified with CRISPRi Sp-dCas9, 3 week(s) after transfection with a guide (sgRNA) library targeting accessible genome regions in many genomic loci,Homo sapiens (female) H9 differentiated cell specimen induced to cardiac muscle cell for 12 days, (cellular sub pool: subpool_LW276) modified with CRISPRi Sp-dCas9, 3 week(s) after transfection with a guide (sgRNA) library targeting accessible genome regions in many genomic loci,Homo sapiens (female) H9 differentiated cell specimen induced to cardiac muscle cell for 12 days, (cellular sub pool: subpool_LW275) modified with CRISPRi Sp-dCas9, 3 week(s) after transfection with a guide (sgRNA) library targeting accessible genome regions in many genomic loci		Homo sapiens H9 differentiated cell specimen induced to cardiac muscle cell, at 12 day(s) post change, modified with CRISPRi Sp-dCas9, transfected with a guide library and measured at 3 week(s) post-transfection, cellular sub pool(s): subpool_LW273, subpool_LW274, subpool_LW275, subpool_LW276			principal analysis	sparse gene count matrix,filtered feature barcode matrix,raw feature barcode matrix		
/analysis-sets/IGVFDS5308EMCG/	CRISPR degradation, interference TAP-seq integrating a guide (sgRNA) library targeting accessible genome regions in 29 genomic loci	Homo sapiens (male) HCT116 cell line modified with CRISPRi Sp-dCas9-KOX1-KRAB, inactive AID system targeting RAD21, transduced (lentivirus) with a guide (sgRNA) library targeting accessible genome regions in 29 genomic loci,Homo sapiens (male) HCT116 cell line activated with 1 μM 5-Phenyl-1H-indole-3-acetic acid for 6 hours, modified with AID system targeting RAD21, CRISPRi Sp-dCas9-KOX1-KRAB, transduced (lentivirus) with a guide (sgRNA) library targeting accessible genome regions in 29 genomic loci		Homo sapiens HCT116 cell line, activated with 1 μM 5-Phenyl-1H-indole-3-acetic acid for 6 hours, modified with AID system targeting RAD21, CRISPRi Sp-dCas9-KOX1-KRAB, inactive AID system targeting RAD21, transfected with a guide library			principal analysis	differential element quantifications,guide quantifications		
/analysis-sets/IGVFDS7845HWEA/	CRISPR scRNA-seq (barcode based multiplexed) integrating a guide (sgRNA) library targeting genes in BATF, a guide (sgRNA) library targeting genes in IRF4, a guide (sgRNA) library targeting genes in IRF8, a guide (sgRNA) library targeting genes in PRDM1, a guide (sgRNA) library targeting genes in SPIB, and a non-targeting guide (sgRNA) library	multiplexed B cell, 1 donor, 14 samples, induced to plasmablast	/institutional-certificates/4786e123-f40d-4b08-aa06-b5f35e9cc453/	Homo sapiens multiplexed sample of B cell, modified with CRISPRko Sp-Cas9, transfected with a guide library			principal analysis	annotated sparse gene count matrix		
/analysis-sets/IGVFDS3192LJHY/	single-nucleus ATAC-seq (10x multiome), single-nucleus RNA sequencing assay (10x multiome)	Homo sapiens (male) H1-hESC organoid induced to islet of Langerhans for 45 days, perturbed with 100.0 ng/mL dexamethasone for 48 hours	/institutional-certificates/635d748b-2373-4015-9329-a7f5bebbeca4/	Homo sapiens H1-hESC organoid induced to islet of Langerhans, at 45 day(s) post change, perturbed with 100.0 ng/mL dexamethasone for 48 hours			intermediate analysis	alignments,index,kallisto single cell RNAseq output,sparse gene count matrix,fragments		
/analysis-sets/IGVFDS6537HWWP/	single-nucleus ATAC-seq (10x multiome), single-nucleus RNA sequencing assay (10x multiome)	Homo sapiens (male) H1-hESC organoid induced to islet of Langerhans for 45 days, perturbed with 100.0 ng/mL dexamethasone for 72 hours	/institutional-certificates/635d748b-2373-4015-9329-a7f5bebbeca4/	Homo sapiens H1-hESC organoid induced to islet of Langerhans, at 45 day(s) post change, perturbed with 100.0 ng/mL dexamethasone for 72 hours			intermediate analysis	alignments,index,sparse gene count matrix,kallisto single cell RNAseq output,fragments		
/analysis-sets/IGVFDS5239SBBT/	CRISPR activation Perturb-seq integrating a guide (sgRNA) library targeting transcription start sites in 24 genes	Homo sapiens CD8-positive, alpha-beta memory T cell modified with CRISPRa Sa-dCas9-VP64, transduced (lentivirus) with a guide (sgRNA) library targeting transcription start sites in 24 genes (MOI of 0.4)	/institutional-certificates/e1533003-0a58-47b1-aa1a-615dbb6aafb2/	Homo sapiens CD8-positive, alpha-beta memory T primary cell, modified with CRISPRa Sa-dCas9-VP64, transfected with a guide library			principal analysis	filtered feature barcode matrix,differential gene expression quantifications		
/analysis-sets/IGVFDS7288SJVF/	CRISPR interference TAP-seq integrating a guide (sgRNA) library targeting accessible genome regions in many genomic loci	Homo sapiens (female) K562 cell line (cellular sub pool: subPool_10X_lane4) modified with CRISPRi Sp-dCas9-KOX1-KRAB, transduced (lentivirus) with a guide (sgRNA) library targeting accessible genome regions in many genomic loci,Homo sapiens (female) K562 cell line (cellular sub pool: subPool_10X_lane9) modified with CRISPRi Sp-dCas9-KOX1-KRAB, transduced (lentivirus) with a guide (sgRNA) library targeting accessible genome regions in many genomic loci,Homo sapiens (female) K562 cell line (cellular sub pool: subPool_10X_lane10) modified with CRISPRi Sp-dCas9-KOX1-KRAB, transduced (lentivirus) with a guide (sgRNA) library targeting accessible genome regions in many genomic loci,Homo sapiens (female) K562 cell line (cellular sub pool: subPool_10X_lane11) modified with CRISPRi Sp-dCas9-KOX1-KRAB, transduced (lentivirus) with a guide (sgRNA) library targeting accessible genome regions in many genomic loci,Homo sapiens (female) K562 cell line (cellular sub pool: subPool_10X_lane3) modified with CRISPRi Sp-dCas9-KOX1-KRAB, transduced (lentivirus) with a guide (sgRNA) library targeting accessible genome regions in many genomic loci,Homo sapiens (female) K562 cell line (cellular sub pool: subPool_10X_lane5) modified with CRISPRi Sp-dCas9-KOX1-KRAB, transduced (lentivirus) with a guide (sgRNA) library targeting accessible genome regions in many genomic loci,Homo sapiens (female) K562 cell line (cellular sub pool: subPool_10X_lane1) modified with CRISPRi Sp-dCas9-KOX1-KRAB, transduced (lentivirus) with a guide (sgRNA) library targeting accessible genome regions in many genomic loci,Homo sapiens (female) K562 cell line (cellular sub pool: subPool_10X_lane7) modified with CRISPRi Sp-dCas9-KOX1-KRAB, transduced (lentivirus) with a guide (sgRNA) library targeting accessible genome regions in many genomic loci,Homo sapiens (female) K562 cell line (cellular sub pool: subPool_10X_lane6) modified with CRISPRi Sp-dCas9-KOX1-KRAB, transduced (lentivirus) with a guide (sgRNA) library targeting accessible genome regions in many genomic loci,Homo sapiens (female) K562 cell line (cellular sub pool: subPool_10X_lane8) modified with CRISPRi Sp-dCas9-KOX1-KRAB, transduced (lentivirus) with a guide (sgRNA) library targeting accessible genome regions in many genomic loci,Homo sapiens (female) K562 cell line (cellular sub pool: subPool_10X_lane2) modified with CRISPRi Sp-dCas9-KOX1-KRAB, transduced (lentivirus) with a guide (sgRNA) library targeting accessible genome regions in many genomic loci		Homo sapiens K562 cell line, modified with CRISPRi Sp-dCas9-KOX1-KRAB, transfected with a guide library, cellular sub pool(s): subPool_10X_lane1, subPool_10X_lane10, subPool_10X_lane11, subPool_10X_lane2, subPool_10X_lane3, subPool_10X_lane4, subPool_10X_lane5, subPool_10X_lane6, subPool_10X_lane7, subPool_10X_lane8, subPool_10X_lane9			principal analysis	filtered feature barcode matrix,differential element quantifications,differential gene expression quantifications		
